frame,can_iface,motor_id,position_rad,elapsed_ms,speed_rad_s,accel_rad_s2
22,can2,5,0.000000,439,1.600,0.501
22,can2,6,0.000000,439,1.600,0.501
22,can3,13,0.001752,439,1.600,0.501
22,can3,14,-0.000370,439,1.600,0.501
22,can3,15,0.000052,439,1.600,0.501
22,can3,16,0.001029,439,1.600,0.501
23,can2,3,0.000000,459,1.600,0.500
23,can2,4,0.000000,459,1.600,0.500
23,can2,5,0.000000,459,1.600,0.500
23,can2,6,0.000000,459,1.600,0.500
23,can3,13,0.001832,459,1.600,0.500
23,can3,14,-0.000386,459,1.600,0.500
23,can3,15,0.000054,459,1.600,0.500
23,can3,16,0.001076,459,1.600,0.500
24,can2,3,0.000000,479,1.600,0.500
24,can2,4,0.000000,479,1.600,0.500
24,can2,5,0.000000,479,1.600,0.500
24,can2,6,0.000000,479,1.600,0.500
24,can3,13,0.001911,479,1.600,0.500
24,can3,14,-0.000403,479,1.600,0.500
24,can3,15,0.000056,479,1.600,0.500
24,can3,16,0.001123,479,1.600,0.500
25,can2,3,0.000000,499,1.600,0.500
25,can2,4,0.000000,499,1.600,0.500
25,can2,5,0.000000,499,1.600,0.500
25,can2,6,0.000000,499,1.600,0.500
25,can3,13,0.001991,499,1.600,0.500
25,can3,14,-0.000420,499,1.600,0.500
25,can3,15,0.000059,499,1.600,0.500
25,can3,16,0.001169,499,1.600,0.500
26,can2,3,0.000000,519,1.600,0.500
26,can2,4,0.000000,519,1.600,0.500
26,can2,5,0.000000,519,1.600,0.500
26,can2,6,0.000000,519,1.600,0.500
26,can3,13,0.002071,519,1.600,0.500
26,can3,14,-0.000437,519,1.600,0.500
26,can3,15,0.000061,519,1.600,0.500
26,can3,16,0.001216,519,1.600,0.500
27,can2,3,0.000000,539,1.600,0.500
27,can2,4,0.000000,539,1.600,0.500
27,can2,5,0.000000,539,1.600,0.500
27,can2,6,0.000000,539,1.600,0.500
27,can3,13,0.002150,539,1.600,0.500
27,can3,14,-0.000453,539,1.600,0.500
27,can3,15,0.000063,539,1.600,0.500
27,can3,16,0.001263,539,1.600,0.500
28,can2,3,0.000000,559,1.600,0.500
28,can2,4,0.000000,559,1.600,0.500
28,can2,5,0.000000,559,1.600,0.500
28,can2,6,0.000000,559,1.600,0.500
28,can3,13,0.002230,559,1.600,0.500
28,can3,14,-0.000470,559,1.600,0.500
28,can3,15,0.000066,559,1.600,0.500
28,can3,16,0.001310,559,1.600,0.500
29,can2,3,0.000000,579,1.600,0.500
29,can2,4,0.000000,579,1.600,0.500
29,can2,5,0.000000,579,1.600,0.500
29,can2,6,0.000000,579,1.600,0.500
29,can3,13,0.002310,579,1.600,0.500
29,can3,14,-0.000487,579,1.600,0.500
29,can3,15,0.000068,579,1.600,0.500
29,can3,16,0.001357,579,1.600,0.500
30,can2,3,0.000000,599,1.600,0.500
30,can2,4,0.000000,599,1.600,0.500
30,can2,5,0.000000,599,1.600,0.500
30,can2,6,0.000000,599,1.600,0.500
30,can3,13,0.002389,599,1.600,0.500
30,can3,14,-0.000504,599,1.600,0.500
30,can3,15,0.000071,599,1.600,0.500
30,can3,16,0.001403,599,1.600,0.500
31,can2,3,0.000000,619,1.600,0.500
31,can2,4,0.000000,619,1.600,0.500
31,can2,5,0.000000,619,1.600,0.500
31,can2,6,0.000000,619,1.600,0.500
31,can3,13,0.002469,619,1.600,0.500
31,can3,14,-0.000521,619,1.600,0.500
31,can3,15,0.000073,619,1.600,0.500
31,can3,16,0.001450,619,1.600,0.500
32,can2,3,0.000000,639,1.600,0.500
32,can2,4,0.000000,639,1.600,0.500
32,can2,5,0.000000,639,1.600,0.500
32,can2,6,0.000000,639,1.600,0.500
32,can3,13,0.002549,639,1.600,0.500
32,can3,14,-0.000537,639,1.600,0.500
32,can3,15,0.000075,639,1.600,0.500
32,can3,16,0.001497,639,1.600,0.500
